Unnamed: 0,life_expectancy,male_life_expectancy,female_life_expectancy,healthcare_spending,GDP_per_capita,obesity_prevalence,carbon_emissions,schooling,physicians,sanitation_mortality_rate,urban_population,rural_population,sanitation_population_perct,unemployment_perct,mobile_cell_subs,GINI_index
157,48.8320388374723,47.3913649258719,50.3293033050882,,441.605589067083,16.1986123126815,0.518770416101305,3.46203994750977,,,32.2591262854723,67.7408737145278,,4.37212508737686,0.0055811560714469,
158,48.6818922948796,47.2843828837181,50.1306697983886,,375.667585110592,16.6577777613649,0.466820830500474,3.62917995452881,,,32.6662695079749,67.3337304920251,,4.36689765649207,0.0095957009141031,
159,48.7837728532269,47.386972966317,50.2328280672098,,458.834219691584,17.0771045433358,0.497312416556454,3.78745007514954,,,33.0672828094985,66.9327171905015,,4.34899631746977,0.0125531304913285,
160,48.9062773288063,47.5150621467513,50.3494060471713,,519.252220900353,17.5535487930816,0.559529151179489,4.00243997573853,,,33.4740743862744,66.5259256137256,,4.37953687626588,0.025856289147414,
161,49.0791837660659,47.7011105749472,50.5069953833111,,510.885533657977,18.0516336883701,0.54499907745344,4.24731016159058,,,33.927806329522,66.072193670478,,4.42111673176107,0.0465887994019213,
162,49.3329492370093,48.1018638757073,50.5922459368066,,509.258402107974,18.5301062441199,0.510473912713849,4.41358995437622,,,34.3932931143835,65.6067068856165,,4.45491736908756,0.0980257325747414,
163,49.7501167734063,48.5241485838513,51.0046281908627,,524.095110345159,19.0231165437573,0.506915750862876,4.60055017471313,,,34.863518035025,65.136481964975,,4.63777280595356,0.20622679893449,
164,50.221953875359,49.0777124990516,51.3825284555454,78.7972697019109,520.786583767401,19.5216583139557,0.525718638722687,5.23687982559204,0.192111568227834,,35.3370493782956,64.6629506217044,16.320831644812,4.66642263665412,0.530892742687222,
165,50.565144130827,49.4656769879182,51.6764690482473,82.3267676700337,529.584938942083,20.0273095266982,0.539255115068025,5.74354982376099,,,35.9449080222937,64.0550919777063,16.4110839306029,4.58178056550067,1.04987624556741,
166,50.9278483335328,49.8332997902483,52.0339160556397,79.8828662012579,619.773282317197,20.5348966479916,0.497135791121823,6.26578998565674,,,36.5548813810684,63.4451186189316,16.7626138561253,4.44873299359231,2.09477956084382,
167,51.4033564775689,50.2949706737943,52.5245794834955,118.447249275236,697.905290822087,21.085299614078,0.515363018069452,6.78174018859863,,,37.1733128807247,62.8266871192753,17.1319240102279,4.40596904675248,3.32309173202265,
168,51.8191317940034,50.7570067168062,52.8903120879728,120.104548415317,841.357960964114,21.6041430756151,0.501186260829957,6.96997022628784,,,37.7989767837642,62.2010232162358,17.5076926941124,4.3525620416528,6.46046333370717,
169,52.3445512272646,51.2965321492648,53.3975045242789,124.506263447237,1000.86958105037,22.1718654610118,0.501186433220843,7.38938999176025,,,38.4344837675033,61.5655162324967,17.8844904632809,4.3214962368522,11.1025063085919,
170,52.8321256822206,51.8346342424235,53.8315944862571,125.667958946042,1241.8519002881,22.7447592477577,0.467292227705739,7.44436979293823,,,39.0793036228639,60.9206963771361,18.2698352901653,4.20305838032003,18.7872335012221,
171,53.2517115680003,52.25778250083,54.2467047326683,126.120074682762,1417.60505010147,23.3192416733026,0.435300409162516,7.66958999633789,,,39.7215976792338,60.2784023207662,18.6636651751928,4.14827042031336,25.0392998212097,
172,53.6411646755365,52.7419547449707,54.5377455380641,129.538491769208,1681.47767951697,23.9492353882586,0.449221636010211,7.90971994400024,,,40.3605353308944,59.6394646691056,19.0648667514116,4.16744297952451,36.8661001562175,
173,54.1594208389292,53.2411007549888,55.0771111862884,138.587865367523,1463.39329309204,24.5386612926322,0.423464619292407,8.03783988952637,,,41.0015117521088,58.9984882478912,19.4746271595439,4.21507268199001,44.3449799979514,
174,54.550169165108,53.6578841772444,55.4406071689804,129.80568528225,1675.73957223421,25.1169763060607,0.464418917562708,8.30375003814697,0.218449807529591,,41.6471579047466,58.3528420952534,19.9086004852315,4.23577745671536,52.27223728058,
175,55.0131378935872,54.1013143438104,55.9253559465002,137.220730342975,1856.68766916914,25.7458361029701,0.46871776341901,8.61802005767822,,,42.2882991749983,57.7117008250017,20.3519353008411,4.18882767264463,58.249872484352,
176,55.3405609869972,54.4220901248178,56.2607088030273,138.630138289996,1953.40703302973,26.335458967622,0.472242411645039,8.99254989624023,,,42.9258849777623,57.0741150222377,20.8047154377681,4.16755614622719,67.1094646656648,
177,55.673405514134,54.7328154431258,56.6172635003196,148.021491148212,2149.29521922384,26.9749109609014,0.499219330100904,9.505539894104,,,43.5540938885034,56.4459061114966,21.2643830567554,3.8044475021588,75.0120031475166,
178,55.9222289908432,54.9676741841976,56.8809346833537,155.444660349109,2243.2714641609,27.6142207819842,0.506917708404874,9.7402400970459,,,44.180175009112,55.819824990888,21.7310557741089,3.98587798262434,80.2975320892204,
179,56.1958723463673,55.2335069473087,57.1643238923324,161.224339996799,1876.62348318848,28.2563469725857,0.485477551312086,9.76731967926025,,,44.8058632577217,55.1941367422783,22.2060884296117,4.24113597618525,85.2005633467545,
180,56.5816784850503,55.7171055612091,57.4486009951228,155.948505170811,1645.02376743667,28.8497545343944,0.490806599745244,9.53899955749512,,58.5930088860888,45.425066376362,54.574933623638,22.6872816553005,4.11295791765579,84.8391679704512,
